Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
Kentavious Caldwell-Pope,LAL,0,0,0.265,1.19,0.101,0.84,0.02,0.67,0,0,0.292,1.11,0.095,0.83,0.052,1.53
Matisse Thybulle,PHI,0,0,0.247,1.15,0.042,0.79,0,0,0,0,0.44,0.92,0.051,0.41,0.051,1.53
Malik Beasley,DEN,0,0,0.19,1.25,0.125,0.57,0,0,0,0,0.344,1.03,0.142,0.68,0.052,1.36
Trevor Ariza,POR,0,0,0.296,1.3,0.083,0.94,0,0,0,0,0.383,1.22,0,0,0.049,0.9
Andre Iguodala,MIA,0,0,0.205,0.6,0.09,0.82,0,0,0,0,0.328,0.8,0,0,0.098,1.42
Wesley Matthews,MIL,0.031,0.8,0.231,1.04,0.078,0.82,0,0,0.022,0.82,0.296,1.14,0.127,0.82,0.057,1.14
Luke Kennard,DET,0.036,0.93,0.159,1.11,0.279,0.96,0,0,0,0,0.228,1.22,0.123,0.92,0.041,1.47
Tony Snell,DET,0.024,1.1,0.163,1.32,0.116,0.98,0,0,0,0,0.39,1.11,0.085,1.14,0.033,1.29
Matt Thomas,TOR,0.031,0.8,0.159,1.48,0.106,1.17,0,0,0,0,0.271,1.04,0.082,1.29,0,0
Otto Porter jr.,CHI,0,0,0.15,1.08,0.275,0.96,0,0,0,0,0.213,1.29,0.094,0.8,0,0
Jakob Poetle,SAS,0,0,0.095,1.12,0,0,0.198,1.31,0.064,0.78,0.047,1.06,0,0,0.265,1.35
Mason Plumlee,DEN,0,0,0.099,0.91,0,0,0.237,1.34,0.172,0.75,0.059,0.23,0,0,0.153,1.37
